Opportunity Name,Qualification Set Date,Qualification Scheduled Date,Industry,Amount,Stage,Fiscal Period,Created Date,SDR Owner,Assigned Account Executive,SAO Points Calculation,Meeting Held Date
Western Ridge Electrical - SDR Set 1,2026-05-27,2026-06-08,Sheet Metal Contractor,31000,Closed Won,Q2 2026,2026-05-27,Wes Kim,Caroline Mead,0,2026-06-08
Western Ridge Electrical - SDR Set 2,2026-05-14,2026-05-18,Plumbing Contractor,44000,Closed Won,Q2 2026,2026-05-14,Wes Kim,Jamal Whitfield,1,2026-05-18
Highline HVAC - SDR Set 3,2025-11-17,2025-11-30,Specialty Trades,25000,Qualification,Q4 2025,2025-11-17,Wes Kim,Jamal Whitfield,1,2025-11-30
Foothill Sheet Metal - SDR Set 4,2025-10-20,2025-10-26,General Contractor,91000,Discovery,Q4 2025,2025-10-20,Mira Schultz,Harper Lin,1,2025-10-26
Brookline Trades - SDR Set 5,2026-03-16,2026-03-22,Sheet Metal Contractor,71000,Qualification,Q1 2026,2026-03-16,Avery Greene,Tomás Reyes,0,2026-03-22
Tannery Plumbing Co - SDR Set 6,2025-12-14,2025-12-18,Electrical Contractor,52000,Discovery,Q4 2025,2025-12-14,Mira Schultz,Eddie Coleman,0,2025-12-18
Cobalt Plumbing Group - SDR Set 7,2026-04-07,2026-04-19,Plumbing Contractor,83000,Discovery,Q2 2026,2026-04-07,Mira Schultz,Lauren Park,0,2026-04-19
Ironclad Electric - SDR Set 8,2026-05-24,2026-06-02,Electrical Contractor,55000,Discovery,Q2 2026,2026-05-24,Wes Kim,Vikram Patel,0,2026-06-02
Compass Sheet Metal - SDR Set 9,2026-04-24,2026-05-04,Sheet Metal Contractor,76000,Evaluation,Q2 2026,2026-04-24,Wes Kim,Tomás Reyes,1,2026-05-04
Whitestone Electric - SDR Set 10,2026-03-12,2026-03-18,HVAC Contractor,46000,Closed Lost,Q1 2026,2026-03-12,Avery Greene,Lauren Park,0,2026-03-18
Cobalt Plumbing Group - SDR Set 11,2026-03-19,2026-04-01,Specialty Trades,25000,Closed Won,Q1 2026,2026-03-19,Mira Schultz,Vikram Patel,0,2026-04-01
Crescent HVAC Co - SDR Set 12,2026-02-09,2026-02-21,Plumbing Contractor,79000,Discovery,Q1 2026,2026-02-09,Mira Schultz,Caroline Mead,1,2026-02-21
Driftwood Mechanical - SDR Set 13,2026-04-06,2026-04-09,Plumbing Contractor,75000,Qualification,Q2 2026,2026-04-06,Wes Kim,Eddie Coleman,1,2026-04-09
Pinewood Construction Services - SDR Set 14,2025-11-30,2025-12-09,HVAC Contractor,52000,Discovery,Q4 2025,2025-11-30,Mira Schultz,Harper Lin,0,2025-12-09
Northwall Builders - SDR Set 15,2025-11-09,2025-11-12,Specialty Trades,77000,Discovery,Q4 2025,2025-11-09,Mira Schultz,Jamal Whitfield,1,2025-11-12
Atlas Sheet Metal - SDR Set 16,2026-03-14,2026-03-18,HVAC Contractor,72000,Evaluation,Q1 2026,2026-03-14,Wes Kim,Tomás Reyes,1,2026-03-18
Western Ridge Electrical - SDR Set 17,2026-04-19,2026-04-26,HVAC Contractor,77000,Evaluation,Q2 2026,2026-04-19,Wes Kim,Harper Lin,1,2026-04-26
Cornerstone Mechanical - SDR Set 18,2026-06-09,2026-06-15,Mechanical Contractor,71000,Discovery,Q2 2026,2026-06-09,Mira Schultz,Tomás Reyes,1,2026-06-15
Cobalt Plumbing Group - SDR Set 19,2026-04-27,2026-04-30,HVAC Contractor,34000,Closed Won,Q2 2026,2026-04-27,Wes Kim,Lauren Park,0,2026-04-30
Sentinel HVAC - SDR Set 20,2026-04-08,2026-04-12,General Contractor,94000,Discovery,Q2 2026,2026-04-08,Avery Greene,Lauren Park,1,2026-04-12
Western Ridge Electrical - SDR Set 21,2026-04-19,2026-04-26,Electrical Contractor,53000,Discovery,Q2 2026,2026-04-19,Mira Schultz,Harper Lin,1,2026-04-26
Tannery Plumbing Co - SDR Set 22,2026-02-15,2026-02-21,HVAC Contractor,99000,Evaluation,Q1 2026,2026-02-15,Avery Greene,Vikram Patel,0,2026-02-21
Western Ridge Electrical - SDR Set 23,2025-11-03,2025-11-17,Industrial Services,52000,Qualification,Q4 2025,2025-11-03,Wes Kim,Lauren Park,0,2025-11-17
Pinewood Construction Services - SDR Set 24,2026-06-09,2026-06-21,Sheet Metal Contractor,72000,Discovery,Q2 2026,2026-06-09,Avery Greene,Eddie Coleman,0,2026-06-21
Beacon Industrial - SDR Set 25,2025-12-13,2025-12-17,Industrial Services,80000,Qualification,Q4 2025,2025-12-13,Wes Kim,Vikram Patel,1,2025-12-17
Beacon Industrial - SDR Set 26,2025-11-24,2025-12-05,Mechanical Contractor,57000,Evaluation,Q4 2025,2025-11-24,Avery Greene,Eddie Coleman,1,2025-12-05
Magnolia Builders - SDR Set 27,2026-05-09,2026-05-22,General Contractor,53000,Discovery,Q2 2026,2026-05-09,Wes Kim,Harper Lin,1,2026-05-22
Anchor Plumbing - SDR Set 28,2025-12-03,2025-12-12,Sheet Metal Contractor,28000,Evaluation,Q4 2025,2025-12-03,Wes Kim,Harper Lin,0,2025-12-12
Whitestone Electric - SDR Set 29,2026-03-18,2026-03-23,Sheet Metal Contractor,59000,Qualification,Q1 2026,2026-03-18,Wes Kim,Jamal Whitfield,1,2026-03-23
Cornerstone Mechanical - SDR Set 30,2026-01-04,2026-01-12,General Contractor,25000,Qualification,Q1 2026,2026-01-04,Avery Greene,Caroline Mead,1,2026-01-12
Summit Electric Inc - SDR Set 31,2026-04-27,2026-05-07,Sheet Metal Contractor,53000,Qualification,Q2 2026,2026-04-27,Wes Kim,Jamal Whitfield,0,2026-05-07
Highline HVAC - SDR Set 32,2026-04-29,2026-05-06,Electrical Contractor,74000,Discovery,Q2 2026,2026-04-29,Wes Kim,Tomás Reyes,1,2026-05-06
Cobalt Plumbing Group - SDR Set 33,2025-11-29,2025-12-07,Mechanical Contractor,74000,Discovery,Q4 2025,2025-11-29,Mira Schultz,Harper Lin,1,2025-12-07
Compass Sheet Metal - SDR Set 34,2025-12-27,2026-01-06,Sheet Metal Contractor,59000,Closed Won,Q4 2025,2025-12-27,Wes Kim,Jamal Whitfield,1,2026-01-06
Steeplechase Electric - SDR Set 35,2025-11-30,2025-12-08,Plumbing Contractor,78000,Qualification,Q4 2025,2025-11-30,Wes Kim,Tomás Reyes,1,2025-12-08
Anchor Plumbing - SDR Set 36,2026-02-03,2026-02-08,Plumbing Contractor,51000,Discovery,Q1 2026,2026-02-03,Avery Greene,Jamal Whitfield,0,2026-02-08
Western Ridge Electrical - SDR Set 37,2026-03-01,2026-03-09,General Contractor,46000,Discovery,Q1 2026,2026-03-01,Wes Kim,Vikram Patel,1,2026-03-09
Crescent HVAC Co - SDR Set 38,2026-02-19,2026-02-24,Sheet Metal Contractor,25000,Closed Won,Q1 2026,2026-02-19,Wes Kim,Vikram Patel,0,2026-02-24
Compass Sheet Metal - SDR Set 39,2025-10-13,2025-10-27,Electrical Contractor,97000,Discovery,Q4 2025,2025-10-13,Mira Schultz,Tomás Reyes,0,2025-10-27
Anchor Plumbing - SDR Set 40,2025-12-16,2025-12-27,Electrical Contractor,46000,Qualification,Q4 2025,2025-12-16,Avery Greene,Eddie Coleman,0,2025-12-27
Briarcliff Trades - SDR Set 41,2026-05-25,2026-06-01,HVAC Contractor,73000,Closed Won,Q2 2026,2026-05-25,Wes Kim,Jamal Whitfield,1,2026-06-01
Ironclad Electric - SDR Set 42,2026-04-12,2026-04-20,Plumbing Contractor,77000,Evaluation,Q2 2026,2026-04-12,Wes Kim,Vikram Patel,1,2026-04-20
