Opportunity Name,Opportunity Owner,Account Name,SDR Owner,Opportunity Source,Amount,Created Date,Discovery Date,Evaluation Date,Negotiation Date,Close Date,Stage Duration,Last Stage Change Date,Annual Revenue,Opportunity Owner: Manager,Opp Set Type,Stage,Account Segment,Recurring ARR,Primary Contact: P Level,Industry,First NB Opp?,Account: Last Activity,Last Activity,Discount Amount,Discount Percentage,Recurring Discount Percentage,Opportunity BPS,Type,Opportunity Record Type,Opportunity ID (18 Char),Probability (%),Contract Term (Month),Payment Terms,Invoice Frequency
Pinewood Construction Services - NB 1,Jamal Whitfield,Pinewood Construction Services,Wes Kim,Outbound,70000,2026-06-03,2026-06-07,2026-06-23,2026-07-31,2026-08-07,49,2026-06-13,22840341,Kevin Brand,SDR Set - Outbound,Final Approvals,MM,54700,Manager,Plumbing Contractor,true,2026-05-11,2026-05-09,0,0%,0%,23.95,New Business,New Business,006DEMO00000000000,90,12,Net 30,Monthly
Riverbend Plumbing - NB 2,Eddie Coleman,Riverbend Plumbing,,Inbound,31000,2026-02-12,2026-02-14,2026-03-06,2026-05-15,2026-09-05,27,2026-02-24,66555629,Kevin Brand,AE Set - Inbound,Contracts/Negotiation,MM,26800,Director,Industrial Services,false,2026-05-08,2026-05-13,0,0%,0%,4.03,New Business,New Business,006DEMO00000000001,75,12,Net 30,Monthly
Whitestone Electric - CL 3,Lauren Park,Whitestone Electric,Mira Schultz,Outbound,67000,2025-08-05,2025-08-06,2025-08-20,2025-10-16,2025-10-14,28,2025-08-17,6451872,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,63400,C-Level,General Contractor,false,2026-05-01,2026-05-11,0,0%,0%,98.27,New Business,New Business,006DEMO00000000002,0,12,Net 30,Semi-Annually
Heritage Mechanical - CW 4,Eddie Coleman,Heritage Mechanical,Wes Kim,Outbound,70000,2025-08-21,2025-08-26,2025-09-23,2025-10-24,2026-02-06,44,2025-09-07,38848324,Kevin Brand,SDR Set - Outbound,Closed Won,MM,56900,Manager,Sheet Metal Contractor,true,2026-04-27,2026-05-01,0,0%,0%,14.65,New Business,New Business,006DEMO00000000003,100,12,Net 30,Monthly
Whitestone Electric - NB 5,Jamal Whitfield,Whitestone Electric,,Outbound,45000,2026-05-20,2026-05-23,2026-06-17,2026-07-09,2026-07-15,15,2026-05-28,13034711,Kevin Brand,AE - Self Set,Final Approvals,MM,37100,,Specialty Trades,false,2026-05-10,2026-05-06,0,0%,0%,28.46,New Business,New Business,006DEMO00000000004,90,12,Net 30,Monthly
Briarcliff Trades - CL 6,Tomás Reyes,Briarcliff Trades,,Event,74000,2025-03-29,2025-03-31,2025-04-18,2025-06-02,2025-09-05,49,2025-04-02,59412844,Kevin Brand,Event,Closed Lost,MM,65700,Manager,Sheet Metal Contractor,false,2026-04-16,2026-05-11,0,0%,0%,11.06,New Business,New Business,006DEMO00000000005,0,12,Net 30,Annual
Compass Sheet Metal - NB 7,Harper Lin,Compass Sheet Metal,Avery Greene,Outbound,208000,2026-02-23,2026-02-27,2026-03-25,2026-04-26,2026-06-01,35,2026-03-09,143272571,Patrick Yu,SDR Set - Outbound,Qualification,ENT,173800,Director,Industrial Services,true,2026-04-20,2026-05-14,49920,24%,24%,12.13,New Business,New Business,006DEMO00000000006,10,12,Net 30,Annual
Highline HVAC - CL 8,Harper Lin,Highline HVAC,,Event,204000,2025-08-13,2025-08-16,2025-09-01,2025-10-08,2026-01-06,19,2025-08-21,339629757,Patrick Yu,Event,Closed Lost,ENT,178100,,Sheet Metal Contractor,false,2026-05-08,2026-05-13,0,0%,0%,5.24,New Business,New Business,006DEMO00000000007,0,12,Net 30,Annual
Magnolia Builders - CW 9,Caroline Mead,Magnolia Builders,Avery Greene,Outbound,105000,2025-03-02,2025-03-05,2025-03-28,2025-06-02,2025-08-15,34,2025-03-08,260860971,Patrick Yu,SDR Set - Outbound,Closed Won,ENT,81600,Director,Specialty Trades,false,2026-05-01,2026-05-04,0,0%,0%,3.13,New Business,New Business,006DEMO00000000008,100,12,Net 30,Monthly
Sentinel HVAC - CL 10,Tomás Reyes,Sentinel HVAC,Mira Schultz,Outbound,39000,2025-07-06,2025-07-11,2025-07-29,2025-09-09,2025-12-24,54,2025-07-12,21013085,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,34300,,Industrial Services,true,2026-05-01,2026-05-13,0,0%,0%,16.32,New Business,New Business,006DEMO00000000009,0,12,Net 30,Monthly
