Opportunity Name,SDR Owner,Created Date,Opportunity Source,Recurring ARR,Accelerated ARR,Competitive Vendors,Type,Annual Revenue,Account Segment,Amount,Opportunity Owner,Close Date,Opp Set Type,Opportunity Owner: Manager,Opportunity ID
Heritage Mechanical - CW 4,Wes Kim,2025-08-21,Outbound,56900,0,,New Business,38848324,MM,70000,Eddie Coleman,2026-02-06,SDR Set - Outbound,Kevin Brand,006DEMO00000000003
Magnolia Builders - CW 9,Avery Greene,2025-03-02,Outbound,81600,0,,New Business,260860971,ENT,105000,Caroline Mead,2025-08-15,SDR Set - Outbound,Patrick Yu,006DEMO00000000008
Ironclad Electric - CW 11,Mira Schultz,2025-02-15,Outbound,78700,0,Competitor B,New Business,145719109,ENT,90000,Vikram Patel,2025-06-12,SDR Set - Outbound,Patrick Yu,006DEMO00000000010
Ironclad Electric - CW 19,,2025-08-09,Inbound,96000,0,,New Business,253903140,ENT,112000,Caroline Mead,2025-12-29,AE Set - Inbound,Patrick Yu,006DEMO00000000018
Summit Electric Inc - CW 33,,2025-06-19,Outbound,47700,0,,New Business,8554574,MM,61000,Lauren Park,2025-10-17,AE - Self Set,Kevin Brand,006DEMO00000000032
Ironclad Electric - CW 34,,2025-06-16,Inbound,36700,0,,New Business,205605744,ENT,45000,Caroline Mead,2025-10-24,AE Set - Inbound,Patrick Yu,006DEMO00000000033
Tannery Plumbing Co - CW 46,Mira Schultz,2025-07-23,6s Intent Signals,165000,0,,New Business,129436488,ENT,174000,Harper Lin,2025-10-12,6s,Patrick Yu,006DEMO00000000045
Whitestone Electric - CW 54,Avery Greene,2025-09-02,Outbound,185500,0,,New Business,257728593,ENT,207000,Harper Lin,2026-03-18,SDR Set - Outbound,Patrick Yu,006DEMO00000000053
Granite Industrial Services - CW 55,,2025-06-29,Event,169800,0,,New Business,272132446,ENT,186000,Harper Lin,2025-11-01,Event,Patrick Yu,006DEMO00000000054
Cobalt Plumbing Group - CW 57,Avery Greene,2025-03-18,6s Intent Signals,117400,0,,New Business,248295553,ENT,138000,Harper Lin,2025-08-31,6s,Patrick Yu,006DEMO00000000056
Foothill Sheet Metal - CW 61,Wes Kim,2025-09-14,Outbound,51300,0,Competitor A,New Business,10510308,MM,55000,Eddie Coleman,2025-12-02,SDR Set - Outbound,Kevin Brand,006DEMO00000000060
Western Ridge Electrical - CW 86,,2025-08-15,Inbound,71000,0,Competitor B,New Business,242512017,ENT,81000,Vikram Patel,2025-10-26,AE Set - Inbound,Patrick Yu,006DEMO00000000085
Whitestone Electric - CW 93,,2025-08-27,Outbound,31900,0,Competitor B,New Business,39935011,MM,38000,Lauren Park,2025-12-09,AE - Self Set,Kevin Brand,006DEMO00000000092
Highline HVAC - CW 97,Avery Greene,2025-05-19,Outbound,12300,0,Competitor A,New Business,48882943,MM,16000,Lauren Park,2025-10-10,SDR Set - Outbound,Kevin Brand,006DEMO00000000096
Summit Electric Inc - CW 108,,2025-03-09,Outbound,197800,0,,New Business,169921099,ENT,220000,Vikram Patel,2025-06-09,AE - Self Set,Patrick Yu,006DEMO00000000107
Cobalt Plumbing Group - CW 116,,2025-10-24,Inbound,134000,0,,New Business,187727969,ENT,166000,Caroline Mead,2026-04-09,AE Set - Inbound,Patrick Yu,006DEMO00000000115
Atlas Sheet Metal - CW 120,Mira Schultz,2025-05-26,6s Intent Signals,96800,0,,New Business,167813071,ENT,113000,Harper Lin,2025-11-23,6s,Patrick Yu,006DEMO00000000119
Western Ridge Electrical - CW 124,,2025-06-17,Inbound,18300,0,,New Business,138146037,ENT,23000,Vikram Patel,2025-11-21,AE Set - Inbound,Patrick Yu,006DEMO00000000123
